nombre_colegio,rector,email,telefono,direccion,web,puntaje_2024,ranking_nacional,total_estudiantes,url_demo
COLEGIO CALASANZ,SANDRA PATRICIA ARCINIEGAS RODRIGUEZ,colegiocalasanz@ccb.edu.co rectoria@ccb.edu.co,6780942 -- 6725701 -- 6698835/36,KR 20 A 173 A 10,www.ccb.edu.co,347.3,118,77,https://icfes-django-dashboard-production.up.railway.app/colegio/645fad0d17be896071d9665a68ea82c1
COLEGIO MONTESSORI (MONTESSORI BRITISH SCHOOL) - BILINGÜE INTERNACIONAL,CLAUDIA ESPERANZA DIAZ RUIZ,calidad@mbs.edu.co administracion@mbs.edu.co,6528585 EXT 1147,CL 128 72 80,www.mbs.edu.co,346.7,125,35,https://icfes-django-dashboard-production.up.railway.app/colegio/8f5ba7115c633636d3bf9afe5bd022f8
COLEGIO EVERGREEN,AMANDA LUCÍA ROMERO CASTELLÓN,arocaste@hotmail.com janny611@gmail.com,6856612 / 6925762,KM 7 VIA SUBA - COTA,www.liceocambridge.edu.co,346.5,128,21,https://icfes-django-dashboard-production.up.railway.app/colegio/365a21a99122def21425cf18f0f4b159
COLEGIO NUEVA ALIANZA INTEGRAL,DOLLY ESPERANZA ROMERO VIVAS,secretariacolegionai@gmail.com contactocolegionai@gmail.com,2892845,KR 7 A 7 60 SUR,www.colegionai.edu.co,346.2,132,29,https://icfes-django-dashboard-production.up.railway.app/colegio/9cd59adb6b56368a5f106a89f33cbb3a
COLEGIO COLOMBO GALES,CLARA INES MARTIN TOVAR,cmartin@colegiocolombogales.edu.co eurrea@colegiocolombogales.edu.co,3144107418,IND AV GUAIMARAL COSTADO SUR AEROPUERTO,www.colegiocolombogales.edu.co,344.3,158,51,https://icfes-django-dashboard-production.up.railway.app/colegio/1cfde3c8156227f25195ce299afbbacf
COLEGIO HELVETIA,MARTIN BEAT KOBEL,colegio@helvetia.edu.co,6247374,CL 128 71 A 91,www.helvetia.edu.co,344.1,162,40,https://icfes-django-dashboard-production.up.railway.app/colegio/aa9e33355bf76cc5ca9fec6b1804b2e2
ASPAEN GIMNASIO IRAGUA,ANA MARGARITA ROMERO CASTILLO,direccion@iragua.edu.co marcela.ariza@iragua.edu.co,6679500,AC 170 76 55,www.iragua.edu.co,343.3,170,41,https://icfes-django-dashboard-production.up.railway.app/colegio/fee459c79277b92dd21e36e67b0eb322
COLEGIO BILINGÜE HISPANOAMERICANO CONDE ANSUREZ,MARIA HELENA MATAMALA SEÑOR,secretaria@hispanoamericano.edu.co,6717124 EXT 101 - 7957383,KR 67 173 A 80,www.hispanoamericano.edu.co,343.2,172,50,https://icfes-django-dashboard-production.up.railway.app/colegio/521aba809b9e3e35397af777f509f0ed
LICEO DE CERVANTES EL RETIRO,PADRE FRAY HENRY MAURICIO PEREZ ARIAS,rectoria@liceodecervantesretiro.edu.co,2368585 -- 5303325 -- 5300724PBX,KR 8 83 29,www.liceodecervantesretiro.edu.co,342.0,186,20,https://icfes-django-dashboard-production.up.railway.app/colegio/610200dbd2614b1aba8aaa786f080dc4
GIMNASIO DEL NORTE,JAIME ACHURY LAITON,jose.contreras@gimansiodelnorte.edu.co,6762577 -- 6683939 -- 6761919,CL 207 70 50,www.gimnasiodelnorte.edu.co,341.9,187,38,https://icfes-django-dashboard-production.up.railway.app/colegio/17fa414a017d19047d4a3bf3e856583b
GIMNASIO NUEVO MODELIA,LUZ DIANA REYES ALONSO,gimnasionuevomodelia@hotmail.com,7447295/96,IND TV 73 A # 24 C - 85  --  KR 74 # 24 D - 20   --  CL 24 D BIS # 73 C - 39  --  CL 23 # 80 A - 37,www.gimnasionuevomodelia.edu.co,341.1,199,63,https://icfes-django-dashboard-production.up.railway.app/colegio/63fcfedc61c2299f1c3b1ebe439f8cfb
CENTRO CULTURAL Y EDUCATIVO  REYES CATOLICOS,ROCIO PEROGIL TAFUR,reyescatolicos.co@educacion.gob.es,6336992 -- 2747012 EXT 111,CL 127 A 11 B 54,www.educacion.es/exterior/centros/reyescatolicos,340.9,201,44,https://icfes-django-dashboard-production.up.railway.app/colegio/0c3e6dd426889bcee24c364a6c61c2f0
COLEGIO ANTONIO NARIÑO H.H. CORAZONISTAS,GERMAN CUERVO HERRERA,secretaria@can.corazonistas.edu.co,2113524  --  2358662,KR 16 60 55,www.can.corazonistas.edu.co,339.5,214,56,https://icfes-django-dashboard-production.up.railway.app/colegio/f426ab9087154606ddedb2cf786d66ca
COLEGIO PROVINMA,HNA CONSUELO DEL SOCORRO DAVID MESA,contacto@colegioprovinma.edu.co provinma@etb.net.co noprovi@hotmail.com,2580303,CL 145 11 40,www.colegioprovinma.edu.co,339.0,222,22,https://icfes-django-dashboard-production.up.railway.app/colegio/db2736f6b5e97f1452dd3f2bead58fc9
LICEO EL ENCUENTRO,MARIANO SANCHEZ FLOREZ,colegioliceoelencuentro@hotmail.com,7455530  --  3176466607,AK 20 81 55,www.liceoelencuentro.edu.co,337.2,245,30,https://icfes-django-dashboard-production.up.railway.app/colegio/15954408bb1a1d4c413e7290950bccdc
COLEGIO BILINGÜE CLERMONT,AIDA RIVERA FRANCO,jenniffer.llanos@clermont.edu.co disciplina@clermont.edu.co,5922155,KR 73 213 A 51,,336.9,252,35,https://icfes-django-dashboard-production.up.railway.app/colegio/c8d6845d98d5354878c6eb5de0d7d312
COLEGIO INTERNACIONAL CAMINO A LA CIMA,YOLIMA TINOCO MARTINEZ,colegiocairt@gmail.com colegiocairt@hotmail.com,2055147 -- 7691779 -- 2055593,DG 44 SUR 23 A 50,www.colegioronditasdeltunal.edu.co,336.8,254,23,https://icfes-django-dashboard-production.up.railway.app/colegio/5a71946d768081e1d7cbafaa78977f3e
COLEGIO SANTA ANA,EDGAR ALEXANDER MENDEZ MENDOZA,colegiosantaana@hotmail.com secretaria@colegiosantaana.edu.co,2670543  --  4181650  --  2670346  --  5427120,IND KR 104 B # 18 B - 46  --  KR 103 B # 18 - 41,www.colegiosantaana.edu.co,336.8,255,93,https://icfes-django-dashboard-production.up.railway.app/colegio/83486d967e1a174df700b75b4164885c
COLEGIO AGUSTINIANO CIUDAD SALITRE,FRAY JUAN JOSE GOMEZ GOMEZ,secretaria@agustinianosalitre.edu.co,4272365  --  4272367  --  4272368/69/70,CL 23 C 69 B 01,www.agustinianosalitre.edu.co,334.7,270,170,https://icfes-django-dashboard-production.up.railway.app/colegio/449075b5ed592b43b752b7a594659637
COLEGIO ANGLO COLOMBIANO,RAYMOND JHON WILLIAMS,aortiz@anglocolombiano.edu.co humanresources@anglocolombiano.edu.co,2595700 -- 2595721 -- 6270726 -- 2595703,AK 19 152 A 48,www.anglocolombiano.edu.co,334.2,283,127,https://icfes-django-dashboard-production.up.railway.app/colegio/e257fb362e5e152cc7e3674d6401153d
GIMNASIO MODERNO,VICTOR ALBERTO GOMEZ CUSNIR,secretariageneral@gimnasiomoderno.edu.co,5401888,KR 9 74 99,www.gimnasiomoderno.edu.co,334.2,284,76,https://icfes-django-dashboard-production.up.railway.app/colegio/cb1eac7c53318e895684fd1106955905
LICEO JUAN RAMON JIMENEZ,SUSANA GAMBA BONILLA,info@liceojuanramonjimenez.edu.co secretaria@ljrj.net,7439610  --  3112767228,IND KM 4 VIA SUBA - COTA,www.liceojuanramonjimenez.edu.co,334.0,287,48,https://icfes-django-dashboard-production.up.railway.app/colegio/bb47bbe77566f7d60be6df89b0035817
COLEGIO REAL ESCANDINAVO,DAVID ALBERTO BELLO HERRERA,sacademica@colegiorealescandinavo.edu.co rectoria@colegiorealescandinavo.edu.co,7562714,KR 71 51 27,www.realescandianvo.edu.co,333.9,289,20,https://icfes-django-dashboard-production.up.railway.app/colegio/8d055b45e09a763442bdb82ccfb7388b
